,category_Daysailers,category_Decksalon Segelboote,category_Dinghy Segelboote,category_Gulets (Segel),category_Jollen und Jollenkreuzer,category_Katamarane,category_Katamarane und Trimarane,category_Ketsch Segelboote,category_Klassische Segelboote,category_Kommerzielle Schiffe (Segel),category_Kutter,category_Lastkahnsegelboote,category_Motorsegler (Segel),category_Nicht Spezifizierte (Segelboote),category_Performance Segelboote,category_Racer Segelboote,category_Racer/ Cruiser Segelboote,category_Schoner,category_Segelboote mit Center Cockpit,category_Segelboote mit Kajüte,category_Segelyachten,category_Slup Boote,category_Sonstige (Segelboote),category_Strandkatamarane,category_Trimarane,hull_material_Aluminium,hull_material_GFK / fiberglas / polyester,hull_material_PVC,hull_material_composite,hull_material_ferrocement,hull_material_other,hull_material_steel,hull_material_wood,fuel_type_diesel,fuel_type_electrical,fuel_type_other,fuel_type_petrol,ADJECTIVE_COUNT_scaled,length_cleaned_scaled,before_1900,from_1900_to_1949,from_1950_to_1999,after_2000
1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.022193211488250653,0.35111168230304585,0,0,1,0
1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.010443864229765013,0.3495694640791672,0,0,0,1
1489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.020887728459530026,0.3495694640791672,0,0,0,1
1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.030026109660574413,0.3495694640791672,0,0,1,0
1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.028720626631853787,0.3495694640791672,0,0,1,0
1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.01174934725848564,0.3495694640791672,0,0,1,0
1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.03263707571801567,0.3495694640791672,0,0,0,1
1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06266318537859007,0.3480272458552885,0,0,0,1
1495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05613577023498695,0.3469991003727027,0,0,0,1
1496,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.04308093994778068,0.3469991003727027,0,0,0,1
1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0195822454308094,0.34442873666623824,0,0,1,0
